MOFid,metal,linker,density,Di,logKH_CO2,pure_uptake_CO2_298.00_15000,pure_uptake_methane_298.00_6500000
00958972.2016.1250260_1436516_clean,[Cu],[C][=C][C][=Branch1][=Branch1][=C][C][=N][Ring1][=Branch1][C][N][C][=Branch1][C][=O][N][C][=C][C][=C][N][=C][Ring1][=Branch1],1.10264,4.7185500000000005,-3.57889481101376,2.6516321888,3.4938404972
00958972.2016.1250260_1436519_clean,[Cd],[N][=C][C][=C][C][Branch1][S][N][C][=Branch1][C][=O][N][C][C][=C][C][=C][N][=C][Ring1][=Branch1][=C][Ring1][P],1.25408,5.14924,-2.131282107992838,2.567135895,3.423210394
ABAYIO_clean,[Mn],[C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][#C],0.949126,11.39486,-4.353803176633964,0.4529062832,8.4242319463
ABAYOU_clean,[Co],[C][=Branch1][C][=O][Branch2][Ring1][#Branch1][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][N][OH0],0.979267,11.27344,-4.388713329587092,0.4286057006,8.3411195131
ABETIN_clean,[Cu],[C][=C][C][=Branch1][=Branch1][=C][C][=N][Ring1][=Branch1][C][=C][C][Branch1][=Branch2][C][C][=C][N][=C][C][=Ring1][=Branch1][=C][Branch1][=Branch2][C][C][=C][N][=C][C][=Ring1][=Branch1][C][=C][Ring2][Ring1][C][C][=C][C][=N][C][=C][Ring1][=Branch1],0.597233,9.47418,-4.611687388996154,0.3742264473,17.698172036
ABEXEM_clean,[La],[O][=C][Branch1][C][OH0][C][=N][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],1.76082,4.8208400000000005,-2.858048804137247,2.7876345496,2.5015883151
ABEXIQ_clean,[Ce],[OH0][C][=Branch1][C][=O][C][=N][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],1.7876,4.80529,-1.3342061349255447,3.3418525535,2.4305415118
ABEXOW_clean,[Pr],[O][=C][Branch1][C][OH0][C][=N][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],1.81243,4.7727,-1.6205965730278182,3.1725033041,2.3801337315
ABEXUC_clean,[Nd],[O][=C][Branch1][C][OH0][C][=N][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],1.84813,4.74458,-1.1176809894482511,2.9043659148,2.3505087583
ABEYAJ_clean,[Sm],[O][=C][Branch1][C][OH0][C][=N][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],1.90641,4.73097,-2.512905480577274,2.8429307414,2.2285429246
ABEYEN_clean,[Eu],[O][=C][Branch1][C][OH0][C][=N][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],1.9293,4.70447,-2.7463204129574086,2.629417934,2.1626109472
ABEYIR_clean,[Gd],[OH0][C][=Branch1][C][=O][C][=N][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],1.96962,4.69665,-3.731323761389159,1.7894611042,2.1145325618
ABUWOJ_clean,[Zn],[C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][=C][Ring1][=Branch2][C][=Branch1][C][=O][OH0],1.15833,5.07969,-2.2966071550247977,5.2500781472,7.2854048733
ACIBOE_clean,[Zn],[C][=Branch2][Ring1][=Branch1][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][C][=Branch1][C][=O][OH0][C][=Branch1][C][=O][OH0],1.10094,8.25776,-3.961606381897776,1.1301860806,7.8153665695
ACMPCD_SL,[Cd],[P][=Branch1][C][=O][Branch2][Ring2][C][O][C][CH0][C@@H1][Branch2][Ring1][#Branch2][C@@H1][Branch2][Ring1][Branch1][C@@H1][Branch1][#C][N][C][=Branch1][C][=O][N][=C][Branch1][Branch1][C][=C][Ring1][#Branch1][N][O][Ring1][=N][O][O][Branch1][C][OH0][OH0],1.73294,5.22092,-5.04402137462374,0.1402876902,0.6053253242000001
ACOLEL_clean,[Mn],[OH0][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch2][C][Branch1][C][N][=C][Ring1][#Branch1][C][=Branch1][C][=O][OH0],1.4548100000000002,4.00255,-4.903583625963439,0.1176188421,0.3809335302
ACOLIP_clean,[Zn],[OH0][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][N],1.04949,4.91034,-3.6539131613539646,2.2884398249,5.9499581195
ACOLOV_clean,[Cd],[C][Branch2][Branch1][O][C][Branch2][Ring1][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][Branch2][Ring1][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][O][C][C][Branch2][Ring1][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][Branch2][Ring1][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],0.8634109999999999,8.42183,-3.657277364780797,1.972926258,10.3044810958
acs.cgd.5b00681_AJUPEC1449470_clean,[Ni],[C][Branch2][Ring1][#Branch2][C][C][C][Branch1][S][C][Branch1][=Branch2][C][C][=C][N][=C][C][=Ring1][=Branch1][=C][C][=Ring1][N][=N][S][N][=Ring1][=C][C][=C][N][=C][C][=Ring2][Ring1][Branch1],1.15447,4.15174,-2.437057964016282,3.8137042436,4.2294266896
acs.cgd.5b01178_MAHFUZ1419064_clean,[Zn],[C][Branch1][=Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][N][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][=Branch1][Ring2][=C][Ring1][=Branch2][C][=Branch1][C][=O][OH0],1.24114,4.33665,-2.341205670436841,5.2966716441,5.7986255379
acs.cgd.5b01684_CUTGIJ1438510_clean,[Mn],[C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=N][Ring1][=Branch1][N][=C][Ring1][N],0.649277,5.76692,-1.987221809624889,7.8485628827,15.7255761097
acs.cgd.6b00119_OLISUZ1440339_clean,[Ag],[C][=Branch1][#Branch1][=N][NH1][CH0][=N][Ring1][Branch1][C][=N][NH1][C][=Branch1][Ring2][=N][Ring1][Branch1][C][=C][N][=C][C][=C][Ring1][=Branch1],0.919445,9.86886,-4.699206759350259,0.3176664773,9.3809429487
acs.cgd.6b00151_AKECEA1449783_clean,[Ag],[C][C][C][Branch2][Ring1][Branch2][C][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][#N][C][C][N][Ring2][Ring1][Branch1][C][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2],1.10048,4.8904700000000005,-3.384116201707749,3.4630252015,7.8589965937
